id,stroke_id,tee_position_x,tee_position_y,tee_position_z,player_dexterity,dynamic_lie,impact_offset,impact_height,attack_angle,launch_direction,ball_speed,club_path,club_speed,dynamic_loft,face_angle,face_to_path,launch_angle,smash_factor,spin_axis,spin_loft,spin_rate,swing_direction,swing_plane,swing_radius,dplane_tilt,low_point_distance,low_point_height,low_point_side,max_height,carry,total,carry_side,total_side,landing_angle,hang_time,last_data,curve,reduced_accuracy,ball_trajectory,club_trajectory
174fabce-030b-4ae5-93d8-18fda5c0e04c,174fabce-030b-4ae5-93d8-18fda5c0e04c,1.986600417,-0.149491543,-0.01679741213,Right,62.1,0.0123,-0.0021,-6.6,-2.479,28.1858,3.0,25.537,37.247,-5.007,-8.007,25.762,1.1037,-8.485,44.672,7260.0,-0.466,62.88,1.027,-8.982,0.145,-0.008,0.003,10.139,60.947,67.627,-4.907,-5.622,38.166748,3.350233,3.722,-2.274,SpinRate,"[{""X"": 0.0, ""Y"": 0.0, ""Z"": 0.0}, {""X"": 10.600538881982022, ""Y"": 4.750346641213612, ""Z"": -0.5342008207181896}, {""X"": 14.956023701922517, ""Y"": 6.407517575026014, ""Z"": -0.797985732067376}, {""X"": 19.098155858791678, ""Y"": 7.761394459780225, ""Z"": -1.0727939498542032}, {""X"": 23.05406059882869, ""Y"": 8.810589544797157, ""Z"": -1.3566632450915386}, {""X"": 26.847799720325053, ""Y"": 9.555288330461192, ""Z"": -1.6479654385960387}, {""X"": 30.50054083650932, ""Y"": 9.997106994574194, ""Z"": -1.9453576681001024}, {""X"": 34.030766277061105, ""Y"": 10.138910594049799, ""Z"": -2.2477374906066387}, {""X"": 37.45452162825424, ""Y"": 9.98459204194794, ""Z"": -2.554201819986673}, {""X"": 40.78570391172931, ""Y"": 9.538811859849613, ""Z"": -2.8640096998197686}, {""X"": 44.03638940189521, ""Y"": 8.80669870557191, ""Z"": -3.176548911477275}, {""X"": 47.5667348957307, ""Y"": 7.6638063676820565, ""Z"": -3.5263967404146372}, {""X"": 50.681110452579894, ""Y"": 6.344163744131848, ""Z"": -3.8431058921144583}, {""X"": 54.08287209878995, ""Y"": 4.559851327494409, ""Z"": -4.196572745523719}, {""X"": 57.434709710317776, ""Y"": 2.444651807884765, ""Z"": -4.551225800153574}, {""X"": 60.74843696803696, ""Y"": 0.001639337039570421, ""Z"": -4.906477226086624}, {""X"": 61.45749133114918, ""Y"": 0.5833174859505235, ""Z"": -4.982854114760802}, {""X"": 62.18095582144108, ""Y"": 0.7837051073071137, ""Z"": -5.060783212596939}, {""X"": 62.88075336047624, ""Y"": 0.5922554841958032, ""Z"": -5.136162988129973}, {""X"": 63.593052763851084, ""Y"": 0.00011227668584012918, ""Z"": -5.212889421148131}, {""X"": 64.20933090448672, ""Y"": 0.15170277674631905, ""Z"": -5.279272775350695}, {""X"": 64.82215529394624, ""Y"": 0.0, ""Z"": -5.345284103302311}, {""X"": 67.37597445950277, ""Y"": 0.0, ""Z"": -5.620372689229722}]",[]
56e660d8-4cca-4fba-b1aa-180db0702b32,56e660d8-4cca-4fba-b1aa-180db0702b32,2.177244311,-0.1656733625,0.006104769119,Right,62.9,0.0189,0.0023,-5.0,1.107,26.4132,5.0,24.644,41.229,-0.897,-5.897,28.943,1.0718,-5.981,46.644,7210.0,3.448,71.737,0.98,-6.154,0.098,-0.004,0.007,10.36,55.648,61.09,-0.299,-0.416,40.726209,3.310062,3.72,-1.374,SpinRate,"[{""X"": 0.0, ""Y"": 0.0, ""Z"": 0.0}, {""X"": 9.109434784341692, ""Y"": 4.672737397760516, ""Z"": 0.1340562356413306}, {""X"": 13.49968525143819, ""Y"": 6.574477926769773, ""Z"": 0.1685491795301128}, {""X"": 17.255091858920288, ""Y"": 7.954771264406605, ""Z"": 0.18273802807045839}, {""X"": 20.850399369208077, ""Y"": 9.021376883745603, ""Z"": 0.1834872158192415}, {""X"": 24.30711396982024, ""Y"": 9.775780408357708, ""Z"": 0.17287263601871833}, {""X"": 27.644043779939867, ""Y"": 10.220649235987128, ""Z"": 0.1526610542923852}, {""X"": 30.877540464073373, ""Y"": 10.359669581697071, ""Z"": 0.1243507004293849}, {""X"": 34.021766271018116, ""Y"": 10.197341637961182, ""Z"": 0.0892104547733848}, {""X"": 37.08898649813874, ""Y"": 9.738732851700737, ""Z"": 0.048317629215930955}, {""X"": 40.08988738095232, ""Y"": 8.989189318267526, ""Z"": 0.0025943427942743645}, {""X"": 43.357902557890746, ""Y"": 7.821570767080384, ""Z"": -0.05290245877860573}, {""X"": 46.2487895169309, ""Y"": 6.474688022394896, ""Z"": -0.10629430174129054}, {""X"": 49.41515974613909, ""Y"": 4.654150551613147, ""Z"": -0.16861823290664893}, {""X"": 52.544147059241496, ""Y"": 2.495766138372866, ""Z"": -0.23325579921583545}, {""X"": 55.646489627116395, ""Y"": 0.0014936594101087053, ""Z"": -0.29929105305726}, {""X"": 56.26582061909448, ""Y"": 0.5993858333621773, ""Z"": -0.3125899380502445}, {""X"": 56.865431654643885, ""Y"": 0.7912563976836111, ""Z"": -0.3254653767185026}, {""X"": 57.46166654139646, ""Y"": 0.5980431916861875, ""Z"": -0.3382683193953048}, {""X"": 58.06905513700802, ""Y"": 9.167106937013614e-05, ""Z"": -0.35131076554768}, {""X"": 58.59412468123556, ""Y"": 0.15310553121311443, ""Z"": -0.3625855758979204}, {""X"": 59.11667584976619, ""Y"": 0.0, ""Z"": -0.37380630931096703}, {""X"": 61.07580364607472, ""Y"": 0.0, ""Z"": -0.4158746307674683}]",[]
524c6dbe-3860-4568-a061-b5786f736da5,524c6dbe-3860-4568-a061-b5786f736da5,2.068516826,-0.1533250171,0.02923770039,Right,67.0,-0.0002,-0.0028,-7.4,-2.524,27.6739,2.8,23.346,31.191,-4.623,-7.423,21.62,1.1854,-9.058,39.284,5960.0,-1.041,62.818,0.98,-9.898,0.151,-0.01,0.002,7.356,56.722,68.042,-4.428,-5.632,31.366813,2.906018,3.61,-1.934,SpinRate,"[{""X"": 0.0, ""Y"": 0.0, ""Z"": 0.0}, {""X"": 9.012462223123972, ""Y"": 3.285498990211233, ""Z"": -0.44835287684776887}, {""X"": 17.241416962454778, ""Y"": 5.613549988208743, ""Z"": -0.9485160071080091}, {""X"": 24.455063231247465, ""Y"": 6.920764390515052, ""Z"": -1.4581017644079117}, {""X"": 27.886085503468678, ""Y"": 7.246692991137083, ""Z"": -1.723111097565769}, {""X"": 31.216367570710084, ""Y"": 7.355929041323639, ""Z"": -1.9937607017602588}, {""X"": 34.45663491017589, ""Y"": 7.2506255944388185, ""Z"": -2.2693346405001087}, {""X"": 37.61639451864239, ""Y"": 6.933423501143183, ""Z"": -2.549228902677984}, {""X"": 40.70405235913007, ""Y"": 6.4072809125478445, ""Z"": -2.832935705883523}, {""X"": 44.05927629881459, ""Y"": 5.581377039304129, ""Z"": -3.1521186008310034}, {""X"": 47.018363671520795, ""Y"": 4.624169966023266, ""Z"": -3.442543880968385}, {""X"": 50.24673954025272, ""Y"": 3.3262845697144936, ""Z"": -3.768350403874754}, {""X"": 53.420568155099765, ""Y"": 1.7844107327860415, ""Z"": -4.097043825911773}, {""X"": 56.54714141093761, ""Y"": 0.0019661748259807155, ""Z"": -4.42806807872676}, {""X"": 57.62317232720871, ""Y"": 0.5312976380107344, ""Z"": -4.543098808442001}, {""X"": 58.66115661177191, ""Y"": 0.7009443476493331, ""Z"": -4.654062246278871}, {""X"": 59.6895406014023, ""Y"": 0.5294461454647532, ""Z"": -4.763999385602387}, {""X"": 60.73381141087279, ""Y"": 0.00014295711218892393, ""Z"": -4.875634870750444}, {""X"": 61.64680518717059, ""Y"": 0.13818965056717047, ""Z"": -4.9732364718910755}, {""X"": 62.55236014529625, ""Y"": 0.0, ""Z"": -5.070042842458187}, {""X"": 67.77379868538927, ""Y"": 0.0, ""Z"": -5.628229300109677}]",[]
7a024ba0-727d-479a-a272-98582af3370b,7a024ba0-727d-479a-a272-98582af3370b,2.21204913,-0.1655472992,0.04470287365,Right,61.4,0.0148,-0.0029,-6.2,-0.113,25.7991,2.6,25.234,40.797,-1.511,-4.111,27.819,1.0224,-3.994,47.291,7400.0,-0.432,64.474,0.901,-4.155,0.118,-0.006,0.002,9.294,53.135,58.803,-0.94,-1.101,38.913696,3.145342,3.663,-0.835,SpinRate,"[{""X"": 0.0, ""Y"": 0.0, ""Z"": 0.0}, {""X"": 8.58416601651793, ""Y"": 4.1848283946614355, ""Z"": -0.041471334882115796}, {""X"": 12.746390736292366, ""Y"": 5.889848214230161, ""Z"": -0.07937097228993928}, {""X"": 16.31819328629274, ""Y"": 7.128438745659615, ""Z"": -0.12102553421805813}, {""X"": 19.74649756066867, ""Y"": 8.086571887197632, ""Z"": -0.16871687067160887}, {""X"": 23.049682263748036, ""Y"": 8.76533878492437, ""Z"": -0.22153109856614564}, {""X"": 26.24393864068062, ""Y"": 9.16688031134929, ""Z"": -0.2786895992797254}, {""X"": 29.34343197229615, ""Y"": 9.294243330079167, ""Z"": -0.339531957220281}, {""X"": 32.36049354904396, ""Y"": 9.151202100740214, ""Z"": -0.4034993706413546}, {""X"": 35.30584312401444, ""Y"": 8.742044824154577, ""Z"": -0.47011853470618975}, {""X"": 38.18884184504224, ""Y"": 8.071325327770925, ""Z"": -0.5389859968001851}, {""X"": 41.329096504085484, ""Y"": 7.024819031379245, ""Z"": -0.6177195242336777}, {""X"": 44.106761802095214, ""Y"": 5.816389671235035, ""Z"": -0.6902361832863836}, {""X"": 47.14802872438001, ""Y"": 4.181787553741602, ""Z"": -0.7722964604523375}, {""X"": 50.15132846622553, ""Y"": 2.2427967405964924, ""Z"": -0.8555624333069637}, {""X"": 53.12604134901691, ""Y"": 0.0014267580956399684, ""Z"": -0.9396259215576656}, {""X"": 53.76111926996856, ""Y"": 0.5778568891891638, ""Z"": -0.9576935006121687}, {""X"": 54.37593928391509, ""Y"": 0.7628415671540054, ""Z"": -0.9751847545823804}, {""X"": 54.98726123879216, ""Y"": 0.5765670224883337, ""Z"": -0.9925764909080322}, {""X"": 55.609998759084405, ""Y"": 8.796036598823775e-05, ""Z"": -1.0102929932030158}, {""X"": 56.15061144487348, ""Y"": 0.14876281703885752, ""Z"": -1.0256730939991239}, {""X"": 56.688567316937245, ""Y"": 0.0, ""Z"": -1.0409776100021912}, {""X"": 58.7787528232048, ""Y"": 0.0, ""Z"": -1.1004421113206782}]",[]
f17b5ac3-a5e4-4ed4-93d7-9dfb3b80e84c,f17b5ac3-a5e4-4ed4-93d7-9dfb3b80e84c,2.149835153,-0.1607519727,-0.00624633048,Right,62.0,0.0127,0.0026,-4.2,0.399,27.9395,4.6,26.659,42.213,-1.755,-6.355,29.635,1.048,-6.186,46.95,7810.0,2.957,69.972,0.942,-6.322,0.083,-0.003,0.005,12.174,60.915,65.091,-1.321,-1.484,43.077787,3.595476,3.745,-1.745,SpinRate,"[{""X"": 0.0, ""Y"": 0.0, ""Z"": 0.0}, {""X"": 5.597899540236652, ""Y"": 3.090818731531756, ""Z"": 0.022302090418231883}, {""X"": 10.795362892795684, ""Y"": 5.734724226904088, ""Z"": 0.01262771367897617}, {""X"": 15.181777569674487, ""Y"": 7.727148315779615, ""Z"": -0.018445419717091446}, {""X"": 19.332909478570816, ""Y"": 9.350501018345394, ""Z"": -0.06691029738098014}, {""X"": 23.28281378373284, ""Y"": 10.604495855934355, ""Z"": -0.1297155809435375}, {""X"": 27.060970796592496, ""Y"": 11.490642241449024, ""Z"": -0.2043189628980741}, {""X"": 30.692749115884194, ""Y"": 12.01206292631262, ""Z"": -0.2886104540245184}, {""X"": 34.19987712909314, ""Y"": 12.173260629377596, ""Z"": -0.38084180141516627}, {""X"": 37.227752669605614, ""Y"": 12.018645039630403, ""Z"": -0.468312160419446}, {""X"": 40.18309729535779, ""Y"": 11.588272207677669, ""Z"": -0.5600476653378792}, {""X"": 43.07576817580392, ""Y"": 10.886856119751771, ""Z"": -0.6553096318602694}, {""X"": 45.91450885184451, ""Y"": 9.919136672666484, ""Z"": -0.7534531483185413}, {""X"": 49.74415607768573, ""Y"": 8.161887112822926, ""Z"": -0.8920597785010529}, {""X"": 53.50579316154684, ""Y"": 5.919504931056099, ""Z"": -1.0336891602601075}, {""X"": 57.217987964057755, ""Y"": 3.1984482805426615, ""Z"": -1.1770961274080884}, {""X"": 60.89922196795514, ""Y"": 0.0013872300694188766, ""Z"": -1.3210350618611704}, {""X"": 61.38660323258539, ""Y"": 0.6219035930463974, ""Z"": -1.340117980970655}, {""X"": 61.88477825725404, ""Y"": 0.8357926792329238, ""Z"": -1.3596235188060277}, {""X"": 62.380542859261816, ""Y"": 0.6206384695920661, ""Z"": -1.3790346789855004}, {""X"": 62.85954043491467, ""Y"": 8.433188745016196e-05, ""Z"": -1.3977893428827024}, {""X"": 63.282257231869586, ""Y"": 0.15997808971431482, ""Z"": -1.4143403903229221}, {""X"": 63.703305393538855, ""Y"": 0.0, ""Z"": -1.4308261041733883}, {""X"": 65.0647377645867, ""Y"": 0.0, ""Z"": -1.48413160787067}]",[]
8eea22dd-df27-4ef2-89c5-31caffa407dc,8eea22dd-df27-4ef2-89c5-31caffa407dc,2.215525156,-0.1775721929,0.02227995242,Right,60.8,0.0143,-0.0063,-6.6,3.182,26.2627,4.4,25.165,41.798,2.511,-1.889,28.691,1.0436,-1.872,48.615,7580.0,1.352,64.975,0.901,-1.932,0.125,-0.007,0.006,10.137,54.99,59.999,2.628,2.842,40.472168,3.278329,3.795,-0.425,SpinRate,"[{""X"": 0.0, ""Y"": 0.0, ""Z"": 0.0}, {""X"": 8.981860827496675, ""Y"": 4.567387694258374, ""Z"": 0.48635410272081314}, {""X"": 13.312027719413015, ""Y"": 6.42776890174635, ""Z"": 0.7115189737959519}, {""X"": 17.016863826423872, ""Y"": 7.778782902248584, ""Z"": 0.8994344442825809}, {""X"": 20.564510362882046, ""Y"": 8.823391758692281, ""Z"": 1.075411401329747}, {""X"": 23.976110633298326, ""Y"": 9.562849347786976, ""Z"": 1.2411378946843423}, {""X"": 27.270138926247164, ""Y"": 9.999592562403922, ""Z"": 1.3980741355641013}, {""X"": 30.462638960024186, ""Y"": 10.137078523627114, ""Z"": 1.5474768188943242}, {""X"": 32.88445490508374, ""Y"": 10.03983162883383, ""Z"": 1.6591664624493987}, {""X"": 35.59468545439935, ""Y"": 9.71308330859356, ""Z"": 1.7825990889045356}, {""X"": 38.250779013670474, ""Y"": 9.159788635300472, ""Z"": 1.9020957166819255}, {""X"": 40.859504898441955, ""Y"": 8.383578356345192, ""Z"": 2.018173638523877}, {""X"": 44.380342701654364, ""Y"": 6.958661089849093, ""Z"": 2.173048234185438}, {""X"": 47.83789597432012, ""Y"": 5.12667571401503, ""Z"": 2.3234474633818585}, {""X"": 51.24648254315634, ""Y"": 2.8930153617245065, ""Z"": 2.470438847959782}, {""X"": 54.925828501032754, ""Y"": 0.0013835510433608533, ""Z"": 2.628165736102066}, {""X"": 55.502177589066854, ""Y"": 0.5952077733971777, ""Z"": 2.652826554568612}, {""X"": 56.06040295256757, ""Y"": 0.7857889157615574, ""Z"": 2.676711895308592}, {""X"": 56.6157110947092, ""Y"": 0.5939221463799669, ""Z"": 2.7004724140132805}, {""X"": 57.18153149441615, ""Y"": 8.709884289714864e-05, ""Z"": 2.724682730637408}, {""X"": 57.67117946607703, ""Y"": 0.1523678619525839, ""Z"": 2.745633782684674}, {""X"": 58.158625947460195, ""Y"": 0.0, ""Z"": 2.766490636854434}, {""X"": 59.91969387914245, ""Y"": 0.0, ""Z"": 2.841843192228551}]",[]
5cfd2d4c-2e18-4e43-9f11-fa76eb3eb7bb,5cfd2d4c-2e18-4e43-9f11-fa76eb3eb7bb,2.203271526,-0.163453131,0.02134363367,Right,63.3,0.0165,-0.0019,-6.2,0.428,28.5247,3.8,26.985,41.24,-1.279,-5.079,28.525,1.0571,-4.937,47.744,8040.0,1.266,67.849,0.947,-5.101,0.119,-0.006,0.005,12.122,62.749,66.989,-1.004,-1.135,42.352424,3.615848,3.707,-1.473,SpinRate,"[{""X"": 0.0, ""Y"": 0.0, ""Z"": 0.0}, {""X"": 5.806661961168847, ""Y"": 3.067487249333965, ""Z"": 0.02931629070110441}, {""X"": 11.191828019879019, ""Y"": 5.695901056257643, ""Z"": 0.03087845686135928}, {""X"": 15.731585644209067, ""Y"": 7.6795486933022294, ""Z"": 0.012850728651793493}, {""X"": 20.023269504251385, ""Y"": 9.297857012825693, ""Z"": -0.02030593447063815}, {""X"": 24.10262410415235, ""Y"": 10.549626646575621, ""Z"": -0.06595329274554006}, {""X"": 28.00061086461584, ""Y"": 11.435636988952021, ""Z"": -0.12189298094101383}, {""X"": 31.743878586521614, ""Y"": 11.958445725785653, ""Z"": -0.18630093307649892}, {""X"": 35.355245732723965, ""Y"": 12.122138415595542, ""Z"": -0.2576669271734168}, {""X"": 38.47043432614688, ""Y"": 11.970436435295325, ""Z"": -0.32592787243695537}, {""X"": 41.508624282769304, ""Y"": 11.54350198802128, ""Z"": -0.3979553970543502}, {""X"": 44.48012194174119, ""Y"": 10.845990978865576, ""Z"": -0.47311498940820956}, {""X"": 47.39404614399622, ""Y"": 9.882642239598749, ""Z"": -0.5508542233689427}, {""X"": 51.3216956668709, ""Y"": 8.132259836614978, ""Z"": -0.6610647628400742}, {""X"": 55.175742861297586, ""Y"": 5.897979525036243, ""Z"": -0.7740844164016419}, {""X"": 58.97540175839866, ""Y"": 3.186639164821715, ""Z"": -0.8888543351313161}, {""X"": 62.73983503530208, ""Y"": 0.001397372591256385, ""Z"": -1.0043162554456968}, {""X"": 63.2468091436313, ""Y"": 0.6316755932751192, ""Z"": -1.0199093027808668}, {""X"": 63.738067992923206, ""Y"": 0.8339982505583237, ""Z"": -1.03501899450843}, {""X"": 64.22698465821632, ""Y"": 0.6304365373320735, ""Z"": -1.0500566474760684}, {""X"": 64.72527685031088, ""Y"": 8.605968716324242e-05, ""Z"": -1.065382664441772}, {""X"": 65.1535035071389, ""Y"": 0.15970090340256604, ""Z"": -1.0785536694683187}, {""X"": 65.58002053680022, ""Y"": 0.0, ""Z"": -1.091672091118204}, {""X"": 66.9698409577571, ""Y"": 0.0, ""Z"": -1.1344189203046087}]",[]
9a58ea00-7223-4d93-b0be-098e4deeb447,9a58ea00-7223-4d93-b0be-098e4deeb447,2.242290561,-0.1678177884,0.01656042629,Right,68.0,0.0311,0.0098,-5.2,1.969,26.7221,3.8,26.854,40.865,0.937,-2.863,27.854,0.9951,-2.943,46.187,7670.0,2.225,72.021,0.913,-3.061,0.094,-0.004,0.005,10.104,56.364,61.572,1.239,1.31,39.845583,3.292417,3.708,-0.698,SpinRate,"[{""X"": 0.0, ""Y"": 0.0, ""Z"": 0.0}, {""X"": 9.71166398224334, ""Y"": 4.748214149121666, ""Z"": 0.3105033660337127}, {""X"": 13.711552008594165, ""Y"": 6.399993148124764, ""Z"": 0.4247019955956826}, {""X"": 17.52238860069137, ""Y"": 7.747406527567939, ""Z"": 0.5261656596875304}, {""X"": 21.16904434303431, ""Y"": 8.789987411656163, ""Z"": 0.6167351109410083}, {""X"": 24.673434725954984, ""Y"": 9.528652479352463, ""Z"": 0.6980006921763052}, {""X"": 28.05472723000043, ""Y"": 9.965573761232774, ""Z"": 0.7713282917091826}, {""X"": 31.32957701684945, ""Y"": 10.10401046411572, ""Z"": 0.8378853803136129}, {""X"": 33.81238729180027, ""Y"": 10.007948009286775, ""Z"": 0.8856136373402459}, {""X"": 36.58935658440917, ""Y"": 9.682972912357306, ""Z"": 0.9364042895813756}, {""X"": 39.30928987475731, ""Y"": 9.13187221691811, ""Z"": 0.9836973662001387}, {""X"": 41.97919712991929, ""Y"": 8.358278213716453, ""Z"": 1.0279622464360005}, {""X"": 45.58019417570737, ""Y"": 6.937706664524603, ""Z"": 1.0846475977658758}, {""X"": 49.11373293442153, ""Y"": 5.1110797042945935, ""Z"": 1.137391814104901}, {""X"": 52.59455488882957, ""Y"": 2.8840258379375006, ""Z"": 1.1871385863230608}, {""X"": 56.34892617732191, ""Y"": 0.001412940910391569, ""Z"": 1.2391115918379367}, {""X"": 56.929101243191944, ""Y"": 0.5838712715973102, ""Z"": 1.2470565340020658}, {""X"": 57.521724473980434, ""Y"": 0.7845935542932665, ""Z"": 1.2551719418686715}, {""X"": 58.09560517333007, ""Y"": 0.593015458330072, ""Z"": 1.2630306887079323}, {""X"": 58.680284462317346, ""Y"": 9.040903790946686e-05, ""Z"": 1.2710373116437654}, {""X"": 59.18631831366301, ""Y"": 0.1521435985097952, ""Z"": 1.2779669608432151}, {""X"": 59.69000824166169, ""Y"": 0.0, ""Z"": 1.2848645124364217}, {""X"": 61.545464882790554, ""Y"": 0.0, ""Z"": 1.3102732150337433}]",[]
9f55d744-00a3-4e44-b017-f046236bb308,9f55d744-00a3-4e44-b017-f046236bb308,2.193719846,-0.170559463,0.0690226358,Right,65.0,0.0194,0.0031,-6.8,0.809,29.6684,3.8,26.495,41.832,-0.677,-4.477,29.181,1.1198,-4.283,48.894,8309.0,0.768,65.899,0.929,-4.398,0.13,-0.008,0.005,13.675,66.69,70.141,-0.525,-0.597,44.265685,3.83829,3.781,-1.466,,"[{""X"": 0.0, ""Y"": 0.0, ""Z"": 0.0}, {""X"": 6.341967054706009, ""Y"": 3.459510073648022, ""Z"": 0.07472112954792445}, {""X"": 12.174898202838168, ""Y"": 6.425866236939268, ""Z"": 0.11670819486358902}, {""X"": 17.05842831462501, ""Y"": 8.66521584958564, ""Z"": 0.1318616520766191}, {""X"": 21.649484964562305, ""Y"": 10.492067238032392, ""Z"": 0.1296131154031239}, {""X"": 25.993009856697356, ""Y"": 11.904632650544377, ""Z"": 0.11317361750154664}, {""X"": 30.127444963163935, ""Y"": 12.903633432071379, ""Z"": 0.0851883205391595}, {""X"": 34.08548338198407, ""Y"": 13.492015335223373, ""Z"": 0.04782768215209869}, {""X"": 37.89480791149795, ""Y"": 13.674609713529058, ""Z"": 0.00287034905965188}, {""X"": 41.17502751690841, ""Y"": 13.501341239331014, ""Z"": -0.04228179828999893}, {""X"": 44.37032177515717, ""Y"": 13.01758597166578, ""Z"": -0.0914202469589142}, {""X"": 47.49289174302315, ""Y"": 12.228874650565862, ""Z"": -0.14381109182019208}, {""X"": 50.93219040153228, ""Y"": 10.984028109801336, ""Z"": -0.20584648961443544}, {""X"": 54.678229824169, ""Y"": 9.165672535994176, ""Z"": -0.2776831783187625}, {""X"": 58.72714819885634, ""Y"": 6.64639779092558, ""Z"": -0.35910083048628855}, {""X"": 62.722672505525615, ""Y"": 3.590675305821735, ""Z"": -0.4418510706885484}, {""X"": 66.6872174509924, ""Y"": 0.0013447207325896215, ""Z"": -0.5247550358649351}, {""X"": 67.10363656002808, ""Y"": 0.6466751285911414, ""Z"": -0.5334470518399731}, {""X"": 67.52949377666604, ""Y"": 0.86914455187285, ""Z"": -0.542336071699864}, {""X"": 67.95351031088636, ""Y"": 0.6454409302437796, ""Z"": -0.5511866705543869}, {""X"": 68.36328675503135, ""Y"": 6.997032701860917e-05, ""Z"": -0.5597400326791862}, {""X"": 68.72312151338924, ""Y"": 0.16503632296604565, ""Z"": -0.5672509499359488}, {""X"": 69.08172393219739, ""Y"": 0.0, ""Z"": -0.5747361442216112}, {""X"": 70.13137752670933, ""Y"": 0.0, ""Z"": -0.5966458155569409}]",[]
725ccbab-3787-4a04-917d-917c9e4442a3,725ccbab-3787-4a04-917d-917c9e4442a3,2.200926236,-0.1692681779,0.02109351509,Right,61.3,0.0159,-0.0033,-6.0,1.757,30.6321,5.2,29.727,45.35,-0.121,-5.321,31.696,1.0304,-4.731,51.591,9250.0,2.163,62.921,0.915,-4.734,0.115,-0.006,0.007,16.359,69.247,70.514,0.278,0.266,48.276373,4.145817,3.875,-1.845,SpinRate,"[{""X"": 0.0, ""Y"": 0.0, ""Z"": 0.0}, {""X"": 13.037646322810625, ""Y"": 7.714621611950618, ""Z"": 0.3240472207535774}, {""X"": 18.171738990271244, ""Y"": 10.397176920009857, ""Z"": 0.40888849735106897}, {""X"": 22.957620548281014, ""Y"": 12.581519428225883, ""Z"": 0.4662669579762013}, {""X"": 27.455407888080536, ""Y"": 14.266433077065933, ""Z"": 0.5017737070619561}, {""X"": 31.71521272908459, ""Y"": 15.45390873085798, ""Z"": 0.5199113809318462}, {""X"": 35.33570482136824, ""Y"": 16.095626718180075, ""Z"": 0.5243907334106452}, {""X"": 39.25364730888268, ""Y"": 16.358290740493427, ""Z"": 0.5190024727146003}, {""X"": 43.035284553889674, ""Y"": 16.142935900737246, ""Z"": 0.5048727211366371}, {""X"": 46.704958355224576, ""Y"": 15.459247564545805, ""Z"": 0.48396901467880543}, {""X"": 50.2832717646347, ""Y"": 14.317390581427222, ""Z"": 0.45793757504962035}, {""X"": 53.78806967237668, ""Y"": 12.727285248450752, ""Z"": 0.42819517189614253}, {""X"": 57.61544406058784, ""Y"": 10.445539658223586, ""Z"": 0.3923206783070495}, {""X"": 61.39209889878526, ""Y"": 7.630772867335928, ""Z"": 0.3549785509508383}, {""X"": 65.13783379915913, ""Y"": 4.288060313518914, ""Z"": 0.31760249047899575}, {""X"": 69.24578625920516, ""Y"": 0.0009212097935602515, ""Z"": 0.27800654521856455}, {""X"": 69.58822317443327, ""Y"": 0.9297451487825867, ""Z"": 0.27481541862165504}, {""X"": 69.92820068101852, ""Y"": 4.0014226101448e-05, ""Z"": 0.2716472109014873}, {""X"": 70.07330617982717, ""Y"": 0.17429205289917604, ""Z"": 0.27029499098539067}, {""X"": 70.21815749565283, ""Y"": 0.0, ""Z"": 0.26894513979595647}, {""X"": 70.51189621499684, ""Y"": 0.0, ""Z"": 0.2662078255686542}]",[]
